Id,Word,Value
984,kit,0011 1101 1000
985,kitchen,0011 1101 1001
986,kite,0011 1101 1010
987,kitten,0011 1101 1011
988,kiwi,0011 1101 1100
989,knee,0011 1101 1101
990,knife,0011 1101 1110
991,knock,0011 1101 1111
992,know,0011 1110 0000
993,lab,0011 1110 0001
994,label,0011 1110 0010
995,labor,0011 1110 0011
996,ladder,0011 1110 0100
997,lady,0011 1110 0101
998,lake,0011 1110 0110
999,lamp,0011 1110 0111
1000,language,0011 1110 1000
1001,laptop,0011 1110 1001
1002,large,0011 1110 1010
1003,later,0011 1110 1011
1004,latin,0011 1110 1100
1005,laugh,0011 1110 1101
1006,laundry,0011 1110 1110
1007,lava,0011 1110 1111
1008,law,0011 1111 0000
1009,lawn,0011 1111 0001
1010,lawsuit,0011 1111 0010
1011,layer,0011 1111 0011
1012,lazy,0011 1111 0100
1013,leader,0011 1111 0101
1014,leaf,0011 1111 0110
1015,learn,0011 1111 0111
1016,leave,0011 1111 1000
1017,lecture,0011 1111 1001
1018,left,0011 1111 1010
1019,leg,0011 1111 1011
1020,legal,0011 1111 1100
1021,legend,0011 1111 1101
1022,leisure,0011 1111 1110
1023,lemon,0011 1111 1111
1024,lend,0100 0000 0000
1025,length,0100 0000 0001
1026,lens,0100 0000 0010
1027,leopard,0100 0000 0011
1028,lesson,0100 0000 0100
1029,letter,0100 0000 0101
1030,level,0100 0000 0110
1031,liar,0100 0000 0111
1032,liberty,0100 0000 1000
1033,library,0100 0000 1001
1034,license,0100 0000 1010
1035,life,0100 0000 1011
1036,lift,0100 0000 1100
1037,light,0100 0000 1101
1038,like,0100 0000 1110
1039,limb,0100 0000 1111
1040,limit,0100 0001 0000
1041,link,0100 0001 0001
1042,lion,0100 0001 0010
1043,liquid,0100 0001 0011
1044,list,0100 0001 0100
1045,little,0100 0001 0101
1046,live,0100 0001 0110
1047,lizard,0100 0001 0111
1048,load,0100 0001 1000
1049,loan,0100 0001 1001
1050,lobster,0100 0001 1010
1051,local,0100 0001 1011
1052,lock,0100 0001 1100
1053,logic,0100 0001 1101
1054,lonely,0100 0001 1110
1055,long,0100 0001 1111
1056,loop,0100 0010 0000
1057,lottery,0100 0010 0001
1058,loud,0100 0010 0010
1059,lounge,0100 0010 0011
1060,love,0100 0010 0100
1061,loyal,0100 0010 0101
1062,lucky,0100 0010 0110
1063,luggage,0100 0010 0111
1064,lumber,0100 0010 1000
1065,lunar,0100 0010 1001
1066,lunch,0100 0010 1010
1067,luxury,0100 0010 1011
1068,lyrics,0100 0010 1100
1069,machine,0100 0010 1101
1070,mad,0100 0010 1110
1071,magic,0100 0010 1111
1072,magnet,0100 0011 0000
1073,maid,0100 0011 0001
1074,mail,0100 0011 0010
1075,main,0100 0011 0011
1076,major,0100 0011 0100
1077,make,0100 0011 0101
1078,mammal,0100 0011 0110
1079,man,0100 0011 0111
1080,manage,0100 0011 1000
1081,mandate,0100 0011 1001
1082,mango,0100 0011 1010
1083,mansion,0100 0011 1011
1084,manual,0100 0011 1100
1085,maple,0100 0011 1101
1086,marble,0100 0011 1110
1087,march,0100 0011 1111
1088,margin,0100 0100 0000
1089,marine,0100 0100 0001
1090,market,0100 0100 0010
1091,marriage,0100 0100 0011
1092,mask,0100 0100 0100
1093,mass,0100 0100 0101
1094,master,0100 0100 0110
1095,match,0100 0100 0111
1096,material,0100 0100 1000
1097,math,0100 0100 1001
1098,matrix,0100 0100 1010
1099,matter,0100 0100 1011
1100,maximum,0100 0100 1100
1101,maze,0100 0100 1101
1102,meadow,0100 0100 1110
1103,mean,0100 0100 1111
1104,measure,0100 0101 0000
1105,meat,0100 0101 0001
1106,mechanic,0100 0101 0010
1107,medal,0100 0101 0011
1108,media,0100 0101 0100
1109,melody,0100 0101 0101
1110,melt,0100 0101 0110
1111,member,0100 0101 0111
1112,memory,0100 0101 1000
1113,mention,0100 0101 1001
1114,menu,0100 0101 1010
1115,mercy,0100 0101 1011
1116,merge,0100 0101 1100
1117,merit,0100 0101 1101
1118,merry,0100 0101 1110
1119,mesh,0100 0101 1111
1120,message,0100 0110 0000
1121,metal,0100 0110 0001
1122,method,0100 0110 0010
1123,middle,0100 0110 0011
1124,midnight,0100 0110 0100
1125,milk,0100 0110 0101
1126,million,0100 0110 0110
1127,mimic,0100 0110 0111
1128,mind,0100 0110 1000
1129,minimum,0100 0110 1001
1130,minor,0100 0110 1010
1131,minute,0100 0110 1011
1132,miracle,0100 0110 1100
1133,mirror,0100 0110 1101
1134,misery,0100 0110 1110
1135,miss,0100 0110 1111
1136,mistake,0100 0111 0000
1137,mix,0100 0111 0001
1138,mixed,0100 0111 0010
1139,mixture,0100 0111 0011
1140,mobile,0100 0111 0100
1141,model,0100 0111 0101
1142,modify,0100 0111 0110
1143,mom,0100 0111 0111
1144,moment,0100 0111 1000
1145,monitor,0100 0111 1001
1146,monkey,0100 0111 1010
1147,monster,0100 0111 1011
1148,month,0100 0111 1100
1149,moon,0100 0111 1101
1150,moral,0100 0111 1110
1151,more,0100 0111 1111
1152,morning,0100 1000 0000
1153,mosquito,0100 1000 0001
1154,mother,0100 1000 0010
1155,motion,0100 1000 0011
1156,motor,0100 1000 0100
1157,mountain,0100 1000 0101
1158,mouse,0100 1000 0110
1159,move,0100 1000 0111
1160,movie,0100 1000 1000
1161,much,0100 1000 1001
1162,muffin,0100 1000 1010
1163,mule,0100 1000 1011
1164,multiply,0100 1000 1100
1165,muscle,0100 1000 1101
1166,museum,0100 1000 1110
1167,mushroom,0100 1000 1111
1168,music,0100 1001 0000
1169,must,0100 1001 0001
1170,mutual,0100 1001 0010
1171,myself,0100 1001 0011
1172,mystery,0100 1001 0100
1173,myth,0100 1001 0101
1174,naive,0100 1001 0110
1175,name,0100 1001 0111
1176,napkin,0100 1001 1000
1177,narrow,0100 1001 1001
1178,nasty,0100 1001 1010
1179,nation,0100 1001 1011
1180,nature,0100 1001 1100
1181,near,0100 1001 1101
1182,neck,0100 1001 1110
1183,need,0100 1001 1111
1184,negative,0100 1010 0000
1185,neglect,0100 1010 0001
1186,neither,0100 1010 0010
1187,nephew,0100 1010 0011
1188,nerve,0100 1010 0100
1189,nest,0100 1010 0101
1190,net,0100 1010 0110
1191,network,0100 1010 0111
1192,neutral,0100 1010 1000
1193,never,0100 1010 1001
1194,news,0100 1010 1010
1195,next,0100 1010 1011
1196,nice,0100 1010 1100
1197,night,0100 1010 1101
1198,noble,0100 1010 1110
1199,noise,0100 1010 1111
1200,nominee,0100 1011 0000
1201,noodle,0100 1011 0001
1202,normal,0100 1011 0010
1203,north,0100 1011 0011
1204,nose,0100 1011 0100
1205,notable,0100 1011 0101
1206,note,0100 1011 0110
1207,nothing,0100 1011 0111
1208,notice,0100 1011 1000
1209,novel,0100 1011 1001
1210,now,0100 1011 1010
1211,nuclear,0100 1011 1011
1212,number,0100 1011 1100
1213,nurse,0100 1011 1101
1214,nut,0100 1011 1110
1215,oak,0100 1011 1111
1216,obey,0100 1100 0000
1217,object,0100 1100 0001
1218,oblige,0100 1100 0010
1219,obscure,0100 1100 0011
1220,observe,0100 1100 0100
1221,obtain,0100 1100 0101
1222,obvious,0100 1100 0110
1223,occur,0100 1100 0111
1224,ocean,0100 1100 1000
1225,october,0100 1100 1001
1226,odor,0100 1100 1010
1227,off,0100 1100 1011
1228,offer,0100 1100 1100
1229,office,0100 1100 1101
1230,often,0100 1100 1110
1231,oil,0100 1100 1111
1232,okay,0100 1101 0000
1233,old,0100 1101 0001
1234,olive,0100 1101 0010
1235,olympic,0100 1101 0011
1236,omit,0100 1101 0100
1237,once,0100 1101 0101
1238,one,0100 1101 0110
1239,onion,0100 1101 0111
1240,online,0100 1101 1000
1241,only,0100 1101 1001
1242,open,0100 1101 1010
1243,opera,0100 1101 1011
1244,opinion,0100 1101 1100
1245,oppose,0100 1101 1101
1246,option,0100 1101 1110
1247,orange,0100 1101 1111
1248,orbit,0100 1110 0000
1249,orchard,0100 1110 0001
1250,order,0100 1110 0010
1251,ordinary,0100 1110 0011
1252,organ,0100 1110 0100
1253,orient,0100 1110 0101
1254,original,0100 1110 0110
1255,orphan,0100 1110 0111
1256,ostrich,0100 1110 1000
1257,other,0100 1110 1001
1258,outdoor,0100 1110 1010
1259,outer,0100 1110 1011
1260,output,0100 1110 1100
1261,outside,0100 1110 1101
1262,oval,0100 1110 1110
1263,oven,0100 1110 1111
1264,over,0100 1111 0000
1265,own,0100 1111 0001
1266,owner,0100 1111 0010
1267,oxygen,0100 1111 0011
1268,oyster,0100 1111 0100
1269,ozone,0100 1111 0101
1270,pact,0100 1111 0110
1271,paddle,0100 1111 0111
1272,page,0100 1111 1000
1273,pair,0100 1111 1001
1274,palace,0100 1111 1010
1275,palm,0100 1111 1011
1276,panda,0100 1111 1100
1277,panel,0100 1111 1101
1278,panic,0100 1111 1110
1279,panther,0100 1111 1111
1280,paper,0101 0000 0000
1281,parade,0101 0000 0001
1282,parent,0101 0000 0010
1283,park,0101 0000 0011
1284,parrot,0101 0000 0100
1285,party,0101 0000 0101
1286,pass,0101 0000 0110
1287,patch,0101 0000 0111
1288,path,0101 0000 1000
1289,patient,0101 0000 1001
1290,patrol,0101 0000 1010
1291,pattern,0101 0000 1011
1292,pause,0101 0000 1100
1293,pave,0101 0000 1101
1294,payment,0101 0000 1110
1295,peace,0101 0000 1111
1296,peanut,0101 0001 0000
1297,pear,0101 0001 0001
1298,peasant,0101 0001 0010
1299,pelican,0101 0001 0011
1300,pen,0101 0001 0100
1301,penalty,0101 0001 0101
1302,pencil,0101 0001 0110
1303,people,0101 0001 0111
1304,pepper,0101 0001 1000
1305,perfect,0101 0001 1001
1306,permit,0101 0001 1010
1307,person,0101 0001 1011
1308,pet,0101 0001 1100
1309,phone,0101 0001 1101
1310,photo,0101 0001 1110
1311,phrase,0101 0001 1111
1312,physical,0101 0010 0000
1313,piano,0101 0010 0001
1314,picnic,0101 0010 0010
1315,picture,0101 0010 0011
1316,piece,0101 0010 0100
1317,pig,0101 0010 0101
1318,pigeon,0101 0010 0110
1319,pill,0101 0010 0111
1320,pilot,0101 0010 1000
1321,pink,0101 0010 1001
1322,pioneer,0101 0010 1010
1323,pipe,0101 0010 1011
1324,pistol,0101 0010 1100
1325,pitch,0101 0010 1101
1326,pizza,0101 0010 1110
1327,place,0101 0010 1111
1328,planet,0101 0011 0000
1329,plastic,0101 0011 0001
1330,plate,0101 0011 0010
1331,play,0101 0011 0011
1332,please,0101 0011 0100
1333,pledge,0101 0011 0101
1334,pluck,0101 0011 0110
1335,plug,0101 0011 0111
1336,plunge,0101 0011 1000
1337,poem,0101 0011 1001
1338,poet,0101 0011 1010
1339,point,0101 0011 1011
1340,polar,0101 0011 1100
1341,pole,0101 0011 1101
1342,police,0101 0011 1110
1343,pond,0101 0011 1111
1344,pony,0101 0100 0000
1345,pool,0101 0100 0001
1346,popular,0101 0100 0010
1347,portion,0101 0100 0011
1348,position,0101 0100 0100
1349,possible,0101 0100 0101
1350,post,0101 0100 0110
1351,potato,0101 0100 0111
1352,pottery,0101 0100 1000
1353,poverty,0101 0100 1001
1354,powder,0101 0100 1010
1355,power,0101 0100 1011
1356,practice,0101 0100 1100
1357,praise,0101 0100 1101
1358,predict,0101 0100 1110
1359,prefer,0101 0100 1111
1360,prepare,0101 0101 0000
1361,present,0101 0101 0001
1362,pretty,0101 0101 0010
1363,prevent,0101 0101 0011
1364,price,0101 0101 0100
1365,pride,0101 0101 0101
1366,primary,0101 0101 0110
1367,print,0101 0101 0111
1368,priority,0101 0101 1000
1369,prison,0101 0101 1001
1370,private,0101 0101 1010
1371,prize,0101 0101 1011
1372,problem,0101 0101 1100
1373,process,0101 0101 1101
1374,produce,0101 0101 1110
1375,profit,0101 0101 1111
1376,program,0101 0110 0000
1377,project,0101 0110 0001
1378,promote,0101 0110 0010
1379,proof,0101 0110 0011
1380,property,0101 0110 0100
1381,prosper,0101 0110 0101
1382,protect,0101 0110 0110
1383,proud,0101 0110 0111
1384,provide,0101 0110 1000
1385,public,0101 0110 1001
1386,pudding,0101 0110 1010
1387,pull,0101 0110 1011
1388,pulp,0101 0110 1100
1389,pulse,0101 0110 1101
1390,pumpkin,0101 0110 1110
1391,punch,0101 0110 1111
1392,pupil,0101 0111 0000
1393,puppy,0101 0111 0001
1394,purchase,0101 0111 0010
1395,purity,0101 0111 0011
1396,purpose,0101 0111 0100
1397,purse,0101 0111 0101
1398,push,0101 0111 0110
1399,put,0101 0111 0111
1400,puzzle,0101 0111 1000
1401,pyramid,0101 0111 1001
1402,quality,0101 0111 1010
1403,quantum,0101 0111 1011
1404,quarter,0101 0111 1100
1405,question,0101 0111 1101
1406,quick,0101 0111 1110
1407,quit,0101 0111 1111
1408,quiz,0101 1000 0000
1409,quote,0101 1000 0001
1410,rabbit,0101 1000 0010
1411,raccoon,0101 1000 0011
1412,race,0101 1000 0100
1413,rack,0101 1000 0101
1414,radar,0101 1000 0110
1415,radio,0101 1000 0111
1416,rail,0101 1000 1000
1417,rain,0101 1000 1001
1418,raise,0101 1000 1010
1419,rally,0101 1000 1011
1420,ramp,0101 1000 1100
1421,ranch,0101 1000 1101
1422,random,0101 1000 1110
1423,range,0101 1000 1111
1424,rapid,0101 1001 0000
1425,rare,0101 1001 0001
1426,rate,0101 1001 0010
1427,rather,0101 1001 0011
1428,raven,0101 1001 0100
1429,raw,0101 1001 0101
1430,razor,0101 1001 0110
1431,ready,0101 1001 0111
1432,real,0101 1001 1000
1433,reason,0101 1001 1001
1434,rebel,0101 1001 1010
1435,rebuild,0101 1001 1011
1436,recall,0101 1001 1100
1437,receive,0101 1001 1101
1438,recipe,0101 1001 1110
1439,record,0101 1001 1111
1440,recycle,0101 1010 0000
1441,reduce,0101 1010 0001
1442,reflect,0101 1010 0010
1443,reform,0101 1010 0011
1444,refuse,0101 1010 0100
1445,region,0101 1010 0101
1446,regret,0101 1010 0110
1447,regular,0101 1010 0111
1448,reject,0101 1010 1000
1449,relax,0101 1010 1001
1450,release,0101 1010 1010
1451,relief,0101 1010 1011
1452,rely,0101 1010 1100
1453,remain,0101 1010 1101
1454,remember,0101 1010 1110
1455,remind,0101 1010 1111
1456,remove,0101 1011 0000
1457,render,0101 1011 0001
1458,renew,0101 1011 0010
1459,rent,0101 1011 0011
1460,reopen,0101 1011 0100
1461,repair,0101 1011 0101
1462,repeat,0101 1011 0110
1463,replace,0101 1011 0111
1464,report,0101 1011 1000
1465,require,0101 1011 1001
1466,rescue,0101 1011 1010
1467,resemble,0101 1011 1011
1468,resist,0101 1011 1100
1469,resource,0101 1011 1101
1470,response,0101 1011 1110
1471,result,0101 1011 1111
1472,retire,0101 1100 0000
1473,retreat,0101 1100 0001
1474,return,0101 1100 0010
1475,reunion,0101 1100 0011
1476,reveal,0101 1100 0100
1477,review,0101 1100 0101
1478,reward,0101 1100 0110
1479,rhythm,0101 1100 0111
1480,rib,0101 1100 1000
1481,ribbon,0101 1100 1001
1482,rice,0101 1100 1010
1483,rich,0101 1100 1011
1484,ride,0101 1100 1100
1485,ridge,0101 1100 1101
1486,rifle,0101 1100 1110
1487,right,0101 1100 1111
1488,rigid,0101 1101 0000
1489,ring,0101 1101 0001
1490,riot,0101 1101 0010
1491,ripple,0101 1101 0011
1492,risk,0101 1101 0100
1493,ritual,0101 1101 0101
1494,rival,0101 1101 0110
1495,river,0101 1101 0111
1496,road,0101 1101 1000
1497,roast,0101 1101 1001
1498,robot,0101 1101 1010
1499,robust,0101 1101 1011
1500,rocket,0101 1101 1100
1501,romance,0101 1101 1101
1502,roof,0101 1101 1110
1503,rookie,0101 1101 1111
1504,room,0101 1110 0000
1505,rose,0101 1110 0001
1506,rotate,0101 1110 0010
1507,rough,0101 1110 0011
1508,round,0101 1110 0100
1509,route,0101 1110 0101
1510,royal,0101 1110 0110
1511,rubber,0101 1110 0111
1512,rude,0101 1110 1000
1513,rug,0101 1110 1001
1514,rule,0101 1110 1010
1515,run,0101 1110 1011
1516,runway,0101 1110 1100
1517,rural,0101 1110 1101
1518,sad,0101 1110 1110
1519,saddle,0101 1110 1111
1520,sadness,0101 1111 0000
1521,safe,0101 1111 0001
1522,sail,0101 1111 0010
1523,salad,0101 1111 0011
1524,salmon,0101 1111 0100
1525,salon,0101 1111 0101
1526,salt,0101 1111 0110
1527,salute,0101 1111 0111
1528,same,0101 1111 1000
1529,sample,0101 1111 1001
1530,sand,0101 1111 1010
1531,satisfy,0101 1111 1011
1532,satoshi,0101 1111 1100
1533,sauce,0101 1111 1101
1534,sausage,0101 1111 1110
1535,save,0101 1111 1111
1536,say,0110 0000 0000
1537,scale,0110 0000 0001
1538,scan,0110 0000 0010
1539,scare,0110 0000 0011
1540,scatter,0110 0000 0100
1541,scene,0110 0000 0101
1542,scheme,0110 0000 0110
1543,school,0110 0000 0111
1544,science,0110 0000 1000
1545,scissors,0110 0000 1001
1546,scorpion,0110 0000 1010
1547,scout,0110 0000 1011
1548,scrap,0110 0000 1100
1549,screen,0110 0000 1101
1550,script,0110 0000 1110
1551,scrub,0110 0000 1111
1552,sea,0110 0001 0000
1553,search,0110 0001 0001
1554,season,0110 0001 0010
1555,seat,0110 0001 0011
1556,second,0110 0001 0100
1557,secret,0110 0001 0101
1558,section,0110 0001 0110
1559,security,0110 0001 0111
1560,seed,0110 0001 1000
1561,seek,0110 0001 1001
1562,segment,0110 0001 1010
1563,select,0110 0001 1011
1564,sell,0110 0001 1100
1565,seminar,0110 0001 1101
1566,senior,0110 0001 1110
1567,sense,0110 0001 1111
1568,sentence,0110 0010 0000
1569,series,0110 0010 0001
1570,service,0110 0010 0010
1571,session,0110 0010 0011
1572,settle,0110 0010 0100
1573,setup,0110 0010 0101
1574,seven,0110 0010 0110
1575,shadow,0110 0010 0111
1576,shaft,0110 0010 1000
1577,shallow,0110 0010 1001
1578,share,0110 0010 1010
1579,shed,0110 0010 1011
1580,shell,0110 0010 1100
1581,sheriff,0110 0010 1101
1582,shield,0110 0010 1110
1583,shift,0110 0010 1111
1584,shine,0110 0011 0000
1585,ship,0110 0011 0001
1586,shiver,0110 0011 0010
1587,shock,0110 0011 0011
1588,shoe,0110 0011 0100
1589,shoot,0110 0011 0101
1590,shop,0110 0011 0110
1591,short,0110 0011 0111
1592,shoulder,0110 0011 1000
1593,shove,0110 0011 1001
1594,shrimp,0110 0011 1010
1595,shrug,0110 0011 1011
1596,shuffle,0110 0011 1100
1597,shy,0110 0011 1101
1598,sibling,0110 0011 1110
1599,sick,0110 0011 1111
1600,side,0110 0100 0000
1601,siege,0110 0100 0001
1602,sight,0110 0100 0010
1603,sign,0110 0100 0011
1604,silent,0110 0100 0100
1605,silk,0110 0100 0101
1606,silly,0110 0100 0110
1607,silver,0110 0100 0111
1608,similar,0110 0100 1000
1609,simple,0110 0100 1001
1610,since,0110 0100 1010
1611,sing,0110 0100 1011
1612,siren,0110 0100 1100
1613,sister,0110 0100 1101
1614,situate,0110 0100 1110
1615,six,0110 0100 1111
1616,size,0110 0101 0000
1617,skate,0110 0101 0001
1618,sketch,0110 0101 0010
1619,ski,0110 0101 0011
1620,skill,0110 0101 0100
1621,skin,0110 0101 0101
1622,skirt,0110 0101 0110
1623,skull,0110 0101 0111
1624,slab,0110 0101 1000
1625,slam,0110 0101 1001
1626,sleep,0110 0101 1010
1627,slender,0110 0101 1011
1628,slice,0110 0101 1100
1629,slide,0110 0101 1101
1630,slight,0110 0101 1110
1631,slim,0110 0101 1111
1632,slogan,0110 0110 0000
1633,slot,0110 0110 0001
1634,slow,0110 0110 0010
1635,slush,0110 0110 0011
1636,small,0110 0110 0100
1637,smart,0110 0110 0101
1638,smile,0110 0110 0110
1639,smoke,0110 0110 0111
1640,smooth,0110 0110 1000
1641,snack,0110 0110 1001
1642,snake,0110 0110 1010
1643,snap,0110 0110 1011
1644,sniff,0110 0110 1100
1645,snow,0110 0110 1101
1646,soap,0110 0110 1110
1647,soccer,0110 0110 1111
1648,social,0110 0111 0000
1649,sock,0110 0111 0001
1650,soda,0110 0111 0010
1651,soft,0110 0111 0011
1652,solar,0110 0111 0100
1653,soldier,0110 0111 0101
1654,solid,0110 0111 0110
1655,solution,0110 0111 0111
1656,solve,0110 0111 1000
1657,someone,0110 0111 1001
1658,song,0110 0111 1010
1659,soon,0110 0111 1011
1660,sorry,0110 0111 1100
1661,sort,0110 0111 1101
1662,soul,0110 0111 1110
1663,sound,0110 0111 1111
1664,soup,0110 1000 0000
1665,source,0110 1000 0001
1666,south,0110 1000 0010
1667,space,0110 1000 0011
1668,spare,0110 1000 0100
1669,spatial,0110 1000 0101
1670,spawn,0110 1000 0110
1671,speak,0110 1000 0111
1672,special,0110 1000 1000
1673,speed,0110 1000 1001
1674,spell,0110 1000 1010
1675,spend,0110 1000 1011
1676,sphere,0110 1000 1100
1677,spice,0110 1000 1101
1678,spider,0110 1000 1110
1679,spike,0110 1000 1111
1680,spin,0110 1001 0000
1681,spirit,0110 1001 0001
1682,split,0110 1001 0010
1683,spoil,0110 1001 0011
1684,sponsor,0110 1001 0100
1685,spoon,0110 1001 0101
1686,sport,0110 1001 0110
1687,spot,0110 1001 0111
1688,spray,0110 1001 1000
1689,spread,0110 1001 1001
1690,spring,0110 1001 1010
1691,spy,0110 1001 1011
1692,square,0110 1001 1100
1693,squeeze,0110 1001 1101
1694,squirrel,0110 1001 1110
1695,stable,0110 1001 1111
1696,stadium,0110 1010 0000
1697,staff,0110 1010 0001
1698,stage,0110 1010 0010
1699,stairs,0110 1010 0011
1700,stamp,0110 1010 0100
1701,stand,0110 1010 0101
1702,start,0110 1010 0110
1703,state,0110 1010 0111
1704,stay,0110 1010 1000
1705,steak,0110 1010 1001
1706,steel,0110 1010 1010
1707,stem,0110 1010 1011
1708,step,0110 1010 1100
1709,stereo,0110 1010 1101
1710,stick,0110 1010 1110
1711,still,0110 1010 1111
1712,sting,0110 1011 0000
1713,stock,0110 1011 0001
1714,stomach,0110 1011 0010
1715,stone,0110 1011 0011
1716,stool,0110 1011 0100
1717,story,0110 1011 0101
1718,stove,0110 1011 0110
1719,strategy,0110 1011 0111
1720,street,0110 1011 1000
1721,strike,0110 1011 1001
1722,strong,0110 1011 1010
1723,struggle,0110 1011 1011
1724,student,0110 1011 1100
1725,stuff,0110 1011 1101
1726,stumble,0110 1011 1110
1727,style,0110 1011 1111
1728,subject,0110 1100 0000
1729,submit,0110 1100 0001
1730,subway,0110 1100 0010
1731,success,0110 1100 0011
1732,such,0110 1100 0100
1733,sudden,0110 1100 0101
1734,suffer,0110 1100 0110
1735,sugar,0110 1100 0111
1736,suggest,0110 1100 1000
1737,suit,0110 1100 1001
1738,summer,0110 1100 1010
1739,sun,0110 1100 1011
1740,sunny,0110 1100 1100
1741,sunset,0110 1100 1101
1742,super,0110 1100 1110
1743,supply,0110 1100 1111
1744,supreme,0110 1101 0000
1745,sure,0110 1101 0001
1746,surface,0110 1101 0010
1747,surge,0110 1101 0011
1748,surprise,0110 1101 0100
1749,surround,0110 1101 0101
1750,survey,0110 1101 0110
1751,suspect,0110 1101 0111
1752,sustain,0110 1101 1000
1753,swallow,0110 1101 1001
1754,swamp,0110 1101 1010
1755,swap,0110 1101 1011
1756,swarm,0110 1101 1100
1757,swear,0110 1101 1101
1758,sweet,0110 1101 1110
1759,swift,0110 1101 1111
1760,swim,0110 1110 0000
1761,swing,0110 1110 0001
1762,switch,0110 1110 0010
1763,sword,0110 1110 0011
1764,symbol,0110 1110 0100
1765,symptom,0110 1110 0101
1766,syrup,0110 1110 0110
1767,system,0110 1110 0111
1768,table,0110 1110 1000
1769,tackle,0110 1110 1001
1770,tag,0110 1110 1010
1771,tail,0110 1110 1011
1772,talent,0110 1110 1100
1773,talk,0110 1110 1101
1774,tank,0110 1110 1110
1775,tape,0110 1110 1111
1776,target,0110 1111 0000
1777,task,0110 1111 0001
1778,taste,0110 1111 0010
1779,tattoo,0110 1111 0011
1780,taxi,0110 1111 0100
1781,teach,0110 1111 0101
1782,team,0110 1111 0110
1783,tell,0110 1111 0111
1784,ten,0110 1111 1000
1785,tenant,0110 1111 1001
1786,tennis,0110 1111 1010
1787,tent,0110 1111 1011
1788,term,0110 1111 1100
1789,test,0110 1111 1101
1790,text,0110 1111 1110
1791,thank,0110 1111 1111
1792,that,0111 0000 0000
1793,theme,0111 0000 0001
1794,then,0111 0000 0010
1795,theory,0111 0000 0011
1796,there,0111 0000 0100
1797,they,0111 0000 0101
1798,thing,0111 0000 0110
1799,this,0111 0000 0111
1800,thought,0111 0000 1000
1801,three,0111 0000 1001
1802,thrive,0111 0000 1010
1803,throw,0111 0000 1011
1804,thumb,0111 0000 1100
1805,thunder,0111 0000 1101
1806,ticket,0111 0000 1110
1807,tide,0111 0000 1111
1808,tiger,0111 0001 0000
1809,tilt,0111 0001 0001
1810,timber,0111 0001 0010
1811,time,0111 0001 0011
1812,tiny,0111 0001 0100
1813,tip,0111 0001 0101
1814,tired,0111 0001 0110
1815,tissue,0111 0001 0111
1816,title,0111 0001 1000
1817,toast,0111 0001 1001
1818,tobacco,0111 0001 1010
1819,today,0111 0001 1011
1820,toddler,0111 0001 1100
1821,toe,0111 0001 1101
1822,together,0111 0001 1110
1823,toilet,0111 0001 1111
1824,token,0111 0010 0000
1825,tomato,0111 0010 0001
1826,tomorrow,0111 0010 0010
1827,tone,0111 0010 0011
1828,tongue,0111 0010 0100
1829,tonight,0111 0010 0101
1830,tool,0111 0010 0110
1831,tooth,0111 0010 0111
1832,top,0111 0010 1000
1833,topic,0111 0010 1001
1834,topple,0111 0010 1010
1835,torch,0111 0010 1011
1836,tornado,0111 0010 1100
1837,tortoise,0111 0010 1101
1838,toss,0111 0010 1110
1839,total,0111 0010 1111
1840,tourist,0111 0011 0000
1841,toward,0111 0011 0001
1842,tower,0111 0011 0010
1843,town,0111 0011 0011
1844,toy,0111 0011 0100
1845,track,0111 0011 0101
1846,trade,0111 0011 0110
1847,traffic,0111 0011 0111
1848,tragic,0111 0011 1000
1849,train,0111 0011 1001
1850,transfer,0111 0011 1010
1851,trap,0111 0011 1011
1852,trash,0111 0011 1100
1853,travel,0111 0011 1101
1854,tray,0111 0011 1110
1855,treat,0111 0011 1111
1856,tree,0111 0100 0000
1857,trend,0111 0100 0001
1858,trial,0111 0100 0010
1859,tribe,0111 0100 0011
1860,trick,0111 0100 0100
1861,trigger,0111 0100 0101
1862,trim,0111 0100 0110
1863,trip,0111 0100 0111
1864,trophy,0111 0100 1000
1865,trouble,0111 0100 1001
1866,truck,0111 0100 1010
1867,true,0111 0100 1011
1868,truly,0111 0100 1100
1869,trumpet,0111 0100 1101
1870,trust,0111 0100 1110
1871,truth,0111 0100 1111
1872,try,0111 0101 0000
1873,tube,0111 0101 0001
1874,tuition,0111 0101 0010
1875,tumble,0111 0101 0011
1876,tuna,0111 0101 0100
1877,tunnel,0111 0101 0101
1878,turkey,0111 0101 0110
1879,turn,0111 0101 0111
1880,turtle,0111 0101 1000
1881,twelve,0111 0101 1001
1882,twenty,0111 0101 1010
1883,twice,0111 0101 1011
1884,twin,0111 0101 1100
1885,twist,0111 0101 1101
1886,two,0111 0101 1110
1887,type,0111 0101 1111
1888,typical,0111 0110 0000
1889,ugly,0111 0110 0001
1890,umbrella,0111 0110 0010
1891,unable,0111 0110 0011
1892,unaware,0111 0110 0100
1893,uncle,0111 0110 0101
1894,uncover,0111 0110 0110
1895,under,0111 0110 0111
1896,undo,0111 0110 1000
1897,unfair,0111 0110 1001
1898,unfold,0111 0110 1010
1899,unhappy,0111 0110 1011
1900,uniform,0111 0110 1100
1901,unique,0111 0110 1101
1902,unit,0111 0110 1110
1903,universe,0111 0110 1111
1904,unknown,0111 0111 0000
1905,unlock,0111 0111 0001
1906,until,0111 0111 0010
1907,unusual,0111 0111 0011
